Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1400
f8fd0782-a9fc-4c02-b556-72740853bc18,,,Known hypertensive,ជំងឺលើសសម្ពាធឈាមដែលបានដឹង,Known hypertensive,ជំងឺលើសសម្ពាធឈាមដែលបានដឹង,,,Question,Coded,Yes;No,,,
b8edfbde-5f94-421e-8b25-e86afe35d0f7,,,Known diabetic,ជំងឺទឹកនោមផ្អែមដែលបានដឹង,Known diabetic,ជំងឺទឹកនោមផ្អែមដែលបានដឹង,,,Question,Coded,Yes;No,,,
c311aec0-dd3d-4c84-a4ab-601fab82ca37,,,Antihypertensive medication use,បច្ចុប្បន្នកំពុងប្រើថ្នាំព្យាបាលជំងឺលើសសម្ពាធឈាម,Antihypertensive medication use,បច្ចុប្បន្នកំពុងប្រើថ្នាំព្យាបាលជំងឺលើសសម្ពាធឈាម,,,Question,Coded,Yes;No,,,
3c803217-425c-4d7c-a2cb-fc2256ad7ca2,,,"Currently, is the patient using drug for the treatment of Diabetes?",បច្ចុប្បន្ន អ្នកជំងឺកំពុងប្រើប្រាស់ថ្នាំព្យាបាលជំងឺទឹកនោមផ្អែមឬទេ?,"Currently, is the patient using drug for the treatment of Diabetes?",បច្ចុប្បន្ន អ្នកជំងឺកំពុងប្រើប្រាស់ថ្នាំព្យាបាលជំងឺទឹកនោមផ្អែមឬទេ?,,,Question,Coded,Yes;No,,,
6d659ab9-798f-4091-9be0-90ebf52c18c2,,,Healthy lifestyle changes,ផ្លាស់ប្តូររបៀបរស់នៅ,Healthy lifestyle changes,ផ្លាស់ប្តូររបៀបរស់នៅ,,,Misc,N/A,,,,
7cf6d87c-4a23-467d-83c1-cd5efacd8cd1,,,Diabetes/Kidney disease in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺទឹកនោមផ្អែម ឬជំងឺតម្រងនោមចំពោះសាច់ញាតិបង្កើត (ខ្សែទីមួយ),Diabetes/Kidney disease in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺទឹកនោមផ្អែម ឬជំងឺតម្រងនោមចំពោះសាច់ញាតិបង្កើត (ខ្សែទីមួយ),,,Question,Coded,Yes;No,,,
157621ff-16ac-4dd4-bc96-6164d3248807,,,Premature heart disease/stroke in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺបេះដូង ឬគ្រោះថ្នាក់សរសៃឈាមខួរក្បាលចំពោះសាច់ញាតិបង្កើត  (ខ្សែទីមួយ),Premature heart disease/stroke in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺបេះដូង ឬគ្រោះថ្នាក់សរសៃឈាមខួរក្បាលចំពោះសាច់ញាតិបង្កើត  (ខ្សែទីមួយ),,,Question,Coded,Yes;No,,,
ad8f9ff4-63f1-40b9-b405-aef4ae674c2d,,,Past Medical History,ប្រវត្តិសុខភាពពីអតីតកាល,Past Medical History,ប្រវត្តិសុខភាពពីអតីតកាល,,,ConvSet,N/A,,Known hypertensive;Known diabetic;Antihypertensive medication use;3c803217-425c-4d7c-a2cb-fc2256ad7ca2;Diabetes/Kidney disease in first degree relatives;Premature heart disease/stroke in first degree relatives,,
e0fffb24-5973-40a9-af11-2e4033831747,,,Presence of TB symptoms,មានរោគសញ្ញាសង្ស័យរបេង,Presence of TB symptoms,មានរោគសញ្ញាសង្ស័យរបេង,,,Question,Coded,Yes;No,,,
b10eae79-8358-4653-822b-33336644db36,,,Suspected TB symptoms,រោគសញ្ញាសង្ស័យរបេង,Suspected TB symptoms,រោគសញ្ញាសង្ស័យរបេង,,,Question,Coded,Yes;No,,,
ea543526-f3d3-4a23-a8aa-0c0acf529d51,,,Referred to TB section,បានបញ្ជូនទៅផ្នែកជំងឺរបេង,Referred to TB section,បានបញ្ជូនទៅផ្នែកជំងឺរបេង,,,Question,Coded,Yes;No,,,
e43b443b-70de-48f3-8d6c-081337621982,,,Have you been screened for Diabetes and Hypertension?,តើអ្នកធ្លាប់បានទៅពិនិត្យជំងឺទឹកនោមផ្អែម និងជំងឺលើសសម្ពាធឈាម ដែរឬទេ?,Have you been screened for Diabetes and Hypertension?,តើអ្នកធ្លាប់បានទៅពិនិត្យជំងឺទឹកនោមផ្អែម និងជំងឺលើសសម្ពាធឈាម ដែរឬទេ?,,,Question,Coded,Yes;No,,,
39b08112-d30c-4d14-829e-62e7df844747,,,"Currently, is the patient using drug for the treatment of High Blood Pressure?",បច្ចុប្បន្ន អ្នកជំងឺកំពុងប្រើប្រាស់ថ្នាំព្យាបាលជំងឺលើសសម្ពាធឈាមឬទេ?,"Currently, is the patient using drug for the treatment of High Blood Pressure?",បច្ចុប្បន្ន អ្នកជំងឺកំពុងប្រើប្រាស់ថ្នាំព្យាបាលជំងឺលើសសម្ពាធឈាមឬទេ?,,,Question,Coded,Yes;No,,,
7083941d-1342-4dd7-ba16-ddc78b61f239,,,Has patient been diagnosed for diabetes mellitus?,តើអ្នកជំងឺត្រូវបានគេធ្វើរោគវិនិច្ឆ័យថាមានជំងឺទឹកនោមផ្អែមដែរឬទេ?,Has patient been diagnosed for diabetes mellitus?,តើអ្នកជំងឺត្រូវបានគេធ្វើរោគវិនិច្ឆ័យថាមានជំងឺទឹកនោមផ្អែមដែរឬទេ?,,,Question,Coded,Yes;No,,,
fe0b5b8e-c9a2-4c87-813d-f10884987d9c,,,Previous diabetes mellitus diagnosis?,ការធ្វើរោគវិនិច្ឆ័យជំងឺទឹកនោមផ្អែមពីមុន?,Previous diabetes mellitus diagnosis?,ការធ្វើរោគវិនិច្ឆ័យជំងឺទឹកនោមផ្អែមពីមុន?,,,Question,Coded,Type 1 diabetes (E10);Type 2 diabetes (E11);Gestational diabetes (O24.4);Unknown,,,
3fe4ac96-893f-4193-a896-1b7e9528719d,,,Year of diagnosis,ឆ្នាំនៃការធ្វើរោគវិនិច្ឆ័យ,Year of diagnosis,ឆ្នាំនៃការធ្វើរោគវិនិច្ឆ័យ,,,Misc,Date,,,,
d3c8a8d4-c141-401f-8354-adbeda86011f,,,Has the patient been diagnosed with hypertension?,តើអ្នកជំងឺធ្លាប់បានធ្វើរោគវិនិច្ឆ័យរកជំងឺលើសឈាមពីមុនមកទេ?,Has the patient been diagnosed with hypertension?,តើអ្នកជំងឺធ្លាប់បានធ្វើរោគវិនិច្ឆ័យរកជំងឺលើសឈាមពីមុនមកទេ?,,,Question,Coded,Yes;No;Unknown,,,
4aea53d6-88d1-4e4c-8702-a8142366af02,,,Diet only,របបអាហារតែមួយគត់,Diet only,របបអាហារតែមួយគត់,,,Misc,N/A,,,,
8c0fc1cc-f430-4201-968b-db0071b01dfd,,,Oral hypoglycaemics agent,ថ្នាំលេបបញ្ចុះជាតិស្ករ,Oral hypoglycaemics agent,ថ្នាំលេបបញ្ចុះជាតិស្ករ,,,Misc,N/A,,,,
d99b139e-4d8f-462c-9825-a0cdc0824417,,,Insulin,អាំងស៊ុលលីន,Insulin,អាំងស៊ុលលីន,,,Misc,N/A,,,,
c4c14717-6624-4963-b038-863eb51669a8,,,Oral hypoglycaemics agent and insulin,ថ្នាំលេបបញ្ចុះជាតិស្ករ​ និង​អាំងស៊ុលលីន,Oral hypoglycaemics agent and insulin,ថ្នាំលេបបញ្ចុះជាតិស្ករ​ និង​អាំងស៊ុលលីន,,,Misc,N/A,,,,
35eaca92-c94d-404c-aa06-1d366db4e8b9,,,No treatment,គ្មានការព្យាបាលទេ,No treatment,គ្មានការព្យាបាលទេ,,,Misc,N/A,,,,
00808084-99a8-4ea8-98b4-63cae2a34273,,,Current therapy,ការព្យាបាលបច្ចុប្បន្ន,Current therapy,ការព្យាបាលបច្ចុប្បន្ន,,,Question,Coded,Diet only;Healthy lifestyle changes;Oral hypoglycaemics agent;Insulin;Oral hypoglycaemics agent and insulin;No treatment,,,
5d65d35a-8ccc-474a-a2ce-746a518ed6f5,,,Use of traditional medicine,ការប្រើប្រាស់ឱសថបុរាណ,Use of traditional medicine,ការប្រើប្រាស់ឱសថបុរាណ,,,Question,Coded,Yes;No,,,
6bb3f867-70ee-4854-9408-d386c99c5990,,,History of premature heart disease or stroke in first degree relative?,ធ្លាប់មានប្រវត្តិជំងឺបេះដូង ឬគ្រោះថ្នាក់សរសៃឈាមខួរក្បាលចំពោះសាច់ញាតិបង្កើត (ខ្សែទីមួយ)?,History of premature heart disease or stroke in first degree relative?,ធ្លាប់មានប្រវត្តិជំងឺបេះដូង ឬគ្រោះថ្នាក់សរសៃឈាមខួរក្បាលចំពោះសាច់ញាតិបង្កើត (ខ្សែទីមួយ)?,,,Question,Coded,Yes;No,,,
4d180dd2-9bc7-4ea8-b64e-5e851c9e5c7d,,,History of diabetes or kidney disease in first degree relative?,ធ្លាប់មានប្រវត្តិជំងឺទឹកនោមផ្អែម ឬជំងឺតម្រងនោមចំពោះសាច់ញាតិបង្កើត (ខ្សែទីមួយ)?,History of diabetes or kidney disease in first degree relative?,ធ្លាប់មានប្រវត្តិជំងឺទឹកនោមផ្អែម ឬជំងឺតម្រងនោមចំពោះសាច់ញាតិបង្កើត (ខ្សែទីមួយ)?,,,Question,Coded,Yes;No,,,
634f28c7-74c9-4b4e-b74d-6ac6a7a797ea,,,Stroke,ជំងឺគ្រោះថ្នាក់សរសៃឈាមខួរក្បាល,Stroke,ជំងឺគ្រោះថ្នាក់សរសៃឈាមខួរក្បាល,,,Misc,N/A,,,,
871389dc-a412-40ba-aa6d-d12497065ce0,,,Amputation,កាត់ជើង,Amputation,កាត់ជើង,,,Misc,N/A,,,,
63ab6543-78c9-4079-887a-8498a51bb98c,,,Chronic renal failure,ការខ្សោយតំរងនោមរ៉ាំរ៉ៃ,Chronic renal failure,ការខ្សោយតំរងនោមរ៉ាំរ៉ៃ,,,Misc,N/A,,,,
fcf078a5-a839-49d7-99cf-5427b0fbaad3,,,Acute myocardial infarction,ជំងឺខូចសាច់ដុំបេះដូងស្រួចស្រាល់,Acute myocardial infarction,ជំងឺខូចសាច់ដុំបេះដូងស្រួចស្រាល់,,,Misc,N/A,,,,
c64409ef-18fb-4e33-a187-e127243cb30c,,,Blindness,ងងឹតភ្នែក,Blindness,ងងឹតភ្នែក,,,Misc,N/A,,,,
11a2da88-7235-4182-b808-99ba2fb4a1a5,,,Foot problem,បញ្ហាជើង,Foot problem,បញ្ហាជើង,,,Misc,N/A,,,,
a9e26e21-126f-45ed-98f2-f4fb423bc634,,,Previous complications,ផលវិបាកពីមុន,Previous complications,ផលវិបាកពីមុន,,,Question,Coded,Stroke;Amputation;Chronic renal failure;Acute myocardial infarction;Blindness;Foot problem,,,
868e9ebe-86fd-467a-b7a8-345437f340af,,,Other complications,ផលវិបាកផ្សេងទៀត,Other complications,ផលវិបាកផ្សេងទៀត,,,Misc,Text,,,,
c67a6c5e-2559-46a8-b9da-2cb38bfff8a3,,,Presence of allergies,មានប្រតិកម្មជាមួយថ្នាំ,Presence of allergies,មានប្រតិកម្មជាមួយថ្នាំ,,,Question,Coded,Yes;No,,,
b082eb80-3495-4af8-a970-0ae0af6ce184,,,Allergies,ប្រតិកម្មថ្នាំ,Allergies,ប្រតិកម្មថ្នាំ,,,Misc,Text,,,,
436880a8-e47a-4fc1-9ad6-07fe543034c8,,,Severity of allergies,កម្រិតនៃប្រតិកម្មថ្នាំ,Severity of Allergies,កម្រិតនៃប្រតិកម្មថ្នាំ,,,Question,Coded,Mild;Medium;Severe,,,
9f7c8739-3ea3-4f7f-8648-d6c36fef7be2,,,Treatment recommendations,អនុសាសន៍អំពីការព្យាបាល,Treatment recommendations,អនុសាសន៍អំពីការព្យាបាល,,,Question,Coded,Healthy diet;Physical activity;Managing stress;Alcohol consumption;Quit smoking,,,
2aad4642-7c64-4249-a9ac-8e52aa94c4f4,,,Other treatment recommendations,អនុសាសន៍នៃការព្យាបាលផ្សេងទៀត,Other treatment recommendations,អនុសាសន៍នៃការព្យាបាលផ្សេងទៀត,,,Question,Text,,,,
0c61b26b-c242-4e36-94b6-97328586bee4,,,Cardiovascular disease,ជំងឺ​សរសៃឈាម​បេះដូង,Cardiovascular disease,ជំងឺ​សរសៃឈាម​បេះដូង,,,Misc,N/A,,,,
43c557a0-6e35-40e2-90f8-862a07377152,,,Nephropathy,ជំងឺតំរងនោម,Nephropathy,ជំងឺតំរងនោម,,,Misc,N/A,,,,
375325ae-dddf-480f-827a-1bfcf581c97b,,,Retinopathy,ជំងឺរ៉េទីនភ្នែក,Retinopathy,ជំងឺរ៉េទីនភ្នែក,,,Misc,N/A,,,,
6ba80ae0-724b-41db-8831-6b3d89dbef06,,,Pre-diabetes,ត្រៀមកើតជំងឺទឹកនោមផ្អែម,Pre-diabetes,ត្រៀមកើតជំងឺទឹកនោមផ្អែម,,,Misc,N/A,,,,
f4d21c60-db31-4318-a8e8-13414dc0fa34,,,TB,ជំងឺរបេង,TB,ជំងឺរបេង,,,Misc,N/A,,,,
884AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,HIV,ជំំងឺអេដស៍,HIV,ជំំងឺអេដស៍,,,Misc,N/A,,,,
4e81c9e2-1c68-11ee-be56-0242ac120002,,,Red eyes,ភ្នែកក្រហម,Red eyes,ភ្នែកក្រហម,,,Misc,N/A,,,,
4e81d1c6-1c68-11ee-be56-0242ac120002,,,Refractive errors,កំហុសកំណុំ,Refractive errors,កំហុសកំណុំ,,,Misc,N/A,,,,
4e81d374-1c68-11ee-be56-0242ac120002,,,Conjunctivitis,រលាកភ្នាសស្ដើងភ្នែក,Conjunctivitis,រលាកភ្នាសស្ដើងភ្នែក,,,Misc,N/A,,,,
4e81d6da-1c68-11ee-be56-0242ac120002,,,Pterygium,កន្ទុយថ្លែន,Pterygium,កន្ទុយថ្លែន,,,Misc,N/A,,,,
4e81d892-1c68-11ee-be56-0242ac120002,,,Cataract,ភ្នែកឡើងបាយ,Cataract,ភ្នែកឡើងបាយ,,,Misc,N/A,,,,
2c50ded9-779a-4316-be00-d9a065674e54,,,Other health conditions,បញ្ហាសុខភាពផ្សេងទៀត,Other health conditions,បញ្ហាសុខភាពផ្សេងទៀត,,,Question,Coded,TB;HIV;Red eyes;Refractive errors;Conjunctivitis;Pterygium;Cataract,,,
3f36a039-eac3-46bd-8798-102c55639d49,,,Current complications,ផលវិបាកបច្ចុប្បន្ន,Current complications,ផលវិបាកបច្ចុប្បន្ន,,,Question,Coded,Cardiovascular disease;Foot problem;Nephropathy;Cerebrovascular Accident (I64);Retinopathy;Pre-diabetes;TB;HIV;Other,,,
556b1ed9-9fd6-4022-adb4-4d1e971194ef,,,Other health condition,Other health condition,Other health condition,បញ្ហាសុខភាពផ្សេងទៀត,,,Misc,Text,,,,
140238AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Fever,ក្តៅខ្លួន,Fever,ក្តៅខ្លួន,,,Misc,N/A,,,,
27ee5bdc-1af9-475b-974d-43beb4f2c6a8,,,Sweat at night,បែកញើស,Sweat at night,បែកញើស,,,Misc,N/A,,,,
89574491-9b87-4179-b5cc-106481d00d05,,,Lost weight,ស្រកទម្ងន់,Lost weight,ស្រកទម្ងន់,,,Misc,N/A,,,,
143264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Cough,ក្អក,Cough,ក្អក,,,Misc,N/A,,,,
f7a59dd0-127b-489f-aa6d-9723f18c2220,,,TB symptoms,រោគសញ្ញាជំងឺរបេង,TB symptoms,រោគសញ្ញាជំងឺរបេង,,,Question,Coded,Fever;Sweat at night;Lost weight;Cough,,,