Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1001
60bf95e1-04b5-48cf-8d05-3f5883a891e0,,,Never smoked,មិនដែលជក់បារីទេ,Never smoked,មិនដែលជក់បារីទេ,,,Misc,N/A,,,,
fd676d9a-1a47-4f6c-a24e-f57ac796b7f1,,,Current smoker,កំពុងជក់បារី,Current smoker,កំពុងជក់បារី,,,Misc,N/A,,,,
57ce8832-7ea7-45f9-91ba-09e1c064073b,,,Ex-smoker,អតីតអ្នកជក់បារី ឬ ធ្លាប់ជក់បារី,Ex-smoker,អតីតអ្នកជក់បារី ឬ ធ្លាប់ជក់បារី,,,Misc,N/A,,,,
7533aa7e-04cb-4cfd-9c97-6ac36f114bab,,,Does the patient smoke?,តើអ្នកជំងឺជក់បារីទេ?,Does the patient smoke?,តើអ្នកជំងឺជក់បារីទេ?,,,Question,Coded,Never smoked;Current smoker;Ex-smoker,,,
b147d693-8c18-4c62-9807-ecd0e60e8fdf,,,Which year did the patient quit smoking?,តើអ្នកជំងឺបានឈប់ជក់បារីនៅឆ្នាំណា?,Which year did the patient quit smoking?,តើអ្នកជំងឺបានឈប់ជក់បារីនៅឆ្នាំណា?,,,Misc,Numeric,,,,
c31a2da0-f16b-44e3-baea-8a259d8beb31,,,Does the patient partake in at least 150 minutes of intensive exercise per week?,តើអ្នកជំងឺចូលរួមហាត់ប្រាណយ៉ាងតិច 150 នាទីក្នុងមួយសប្តាហ៍ដែរឬទេ?,Does the patient partake in at least 150 minutes of intensive exercise per week?,តើអ្នកជំងឺចូលរួមហាត់ប្រាណយ៉ាងតិច 150 នាទីក្នុងមួយសប្តាហ៍ដែរឬទេ?,,,Question,Coded,Yes;No,,,
e737c8c9-a154-47a1-aa20-ed13008d46cf,,,Does the patient drink alcohol?,តើអ្នកជំងឺផឹកគ្រឿងស្រវឹងឬទេ?,Does the patient drink alcohol?,តើអ្នកជំងឺផឹកគ្រឿងស្រវឹងឬទេ?,,,Question,Coded,Yes;No,,,
d7035879-6668-4cb0-87ab-a1311ccb774c,,,Counselled on tobacco cessation,បានផ្តល់​ប្រឹក្សា​អំពី​ការ​ឈប់​ជក់​បារី,Counselled on tobacco cessation,បានផ្តល់​ប្រឹក្សា​អំពី​ការ​ឈប់​ជក់​បារី,,,Question,Coded,Yes;No,,,
dc833bb7-2d04-4be0-ab58-47b9fb2bf771,,,Counselled on diet & physical activity,បានផ្តល់​ប្រឹក្សា​អំពី​របបអាហារ និងកាយវប្បកម្ម (សកម្មភាពរាងកាយ),Counselled on diet & physical activity,បានផ្តល់​ប្រឹក្សា​អំពី​របបអាហារ និងកាយវប្បកម្ម (សកម្មភាពរាងកាយ),,,Question,Coded,Yes;No,,,
805c3a0b-cd38-4ed6-b4f8-f3af0fc118ad,,,Started on medicine,បានចាប់ផ្តើមប្រើឱសថ,Started on medicine,បានចាប់ផ្តើមប្រើឱសថ,,,Question,Coded,Yes;No,,,
62e5ac97-0fb6-478b-bd30-2157374b3cc0,,,Medication,ឱសថ,Medication,ឱសថ,,,Question,Coded,adb6d578-7356-4910-adef-1e994af1da0f;8a6423da-6480-4686-96ea-0c67ed4378e1;71137AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;70252b71-5039-4afb-b8f8-3f22fe300918;7e11b94c-759c-4c9e-a0fa-5268f59397b8;f5005dfe-bd0c-4078-aac7-df6113712f02;bc8bec7f-8367-446d-81ac-459687bedcdb;dd766217-50a8-4a10-bc6d-031a1ff932b4;5f2dd5ba-687d-4485-bb17-f81c27922565;ee98fc87-8071-4d17-8ef0-7d9395037bc1;16c558a3-6f2c-4e2b-80c4-43c970a8d9cc;1cc19da3-4c56-470e-aa52-c10a9791eeda;f72293b4-5f61-4b96-9c32-b454eb4ddfe5;77696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;39f9ad3a-88f4-400d-a854-c2433dacbb91;ad0a4f7f-cb96-4b99-b2cf-52fae54f442a;2c18c145-faad-41ba-99e2-4547a0ca05aa;73cd8ce8-a531-4294-b843-83341acd63ba;934e4832-4f8c-4f18-8e6c-44df60185a4f;79651AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;0f9aa345-d300-4a4b-be49-fa4f8442e2e9;96a714c2-6874-465e-ab0c-47b5ef49e9fe;691ebd60-f916-4f9e-990e-8cc21420c6d9;879390ce-0d76-4959-90f4-42ab2b17772d,,,
0eb2b443-57d6-4998-8596-c9303d33abf0,,,Default,បោះបង់,Default,បោះបង់,,,Misc,N/A,,,,
c84f1b1c-9f19-4999-a618-0c256d132365,,,Deceased,កាត់បន្ថយ,Deceased,កាត់បន្ថយ,,,Misc,N/A,,,,
8ee37ce5-cb9d-44a6-8adc-6efb39b07b75,,,Reason for discharge,ហេតុផលចេញពីពេទ្យ,Reason for discharge,ហេតុផលចេញពីពេទ្យ,,,Question,Coded,Default;Deceased,,,
7feb6724-dd34-411a-aa24-2422bfefe407,,,Healthy Diet,របបអាហារដែលមានសុខុមាលភាព,Healthy Diet,របបអាហារដែលមានសុខុមាលភាព,,,Misc,N/A,,,,
91ac05d8-174b-4127-ae40-ae90b2244993,,,Physical Activity,កាយវប្បកម្ម (សកម្មភាពរាងកាយ),Physical Activity,កាយវប្បកម្ម (សកម្មភាពរាងកាយ),,,Misc,N/A,,,,
73ac6960-6205-466e-8fad-54165e8a55f7,,,Alcohol Consumption,ការប្រើប្រាស់គ្រឿងស្រវឹង,Alcohol Consumption,ការប្រើប្រាស់គ្រឿងស្រវឹង,,,Misc,N/A,,,,
f24e644d-7c12-476a-9ec4-9734f148502a,,,Smoking,ជក់បារី,Smoking,ជក់បារី,,,Misc,N/A,,,,