Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Fully specified name:km,Short name:km,Description:en,Description:km,Data class,Data type,Answers,Units,Members,Allow decimals,_version:1,_order:1850
49b79baa-c7db-4e6c-88e6-93e67ecc2a79,,,Test not done,Test not done,មិនបានធ្វើតេស្ត,មិនបានធ្វើតេស្ត,,,Misc,N/A,,,,,,
cd9d1cab-5a14-41e4-bf4b-e9425bc53958,,,Age of first sexual intercourse,Age of first sexual intercourse,អាយុនៃការរួមភេទលើកដំបូង,អាយុនៃការរួមភេទលើកដំបូង,,,Misc,Numeric,,,,Yes,,
9186111c-9df6-467f-8479-cb950b7fb252,,,Has patient been pregnant before?,Has patient been pregnant before?,តើអ្នកជំងឺមានផ្ទៃពោះពីមុនទេ?,តើអ្នកជំងឺមានផ្ទៃពោះពីមុនទេ?,,,Question,Coded,Yes;No,,,,,
b5913f28-31f5-4634-8970-316fba5f0eaf,,,Number of pregnancies,Number of pregnancies,ចំនួនដងនៃការមានផ្ទៃពោះ,ចំនួនដងនៃការមានផ្ទៃពោះ,,,Misc,Numeric,,,,,,
ac127f70-514c-4f42-aa46-a13bb0d26a79,,,Number of deliveries,Number of deliveries,ចំនួនដងនៃការសម្រាលកូន,ចំនួនដងនៃការសម្រាលកូន,,,Misc,Numeric,,,,,,
e83196b4-793a-40dc-b30f-3a0ddac746bc,,,Number of miscarriages,Number of miscarriages?,ចំនួនដងនៃការរលូតកូន,ចំនួនដងនៃការរលូតកូន,,,Misc,Numeric,,,,,,
e45b3453-ad10-475c-abc7-4523fce69be6,,,Is patient currently pregnant?,Is patient currently pregnant?,តើអ្នកជំងឺកំពុងមានផ្ទៃពោះទេ?,តើអ្នកជំងឺកំពុងមានផ្ទៃពោះទេ?,,,Question,Coded,Yes;No,,,,,
40026557-6b03-4f1d-9592-ced1369814ff,,,Weeks of amenorrhea,Weeks of amenorrhea?,សប្តាហ៍នៃការអត់ធ្លាក់ឈាមរដូវ,សប្តាហ៍នៃការអត់ធ្លាក់ឈាមរដូវ,,,Misc,Numeric,,,,Yes,,
f44fcc48-4666-4270-a69e-d86e745d9a09,,,Menarche,Menarche,ការមានឈាមរដូវលើកដំបូង,ការមានឈាមរដូវលើកដំបូង,,,Question,Numeric,,,,Yes,,
f5f5ccde-7d25-4ed9-9ccf-34cbe84de886,,,Last normal menstrual period,Last normal menstrual period,ការមកឈាមរដូវចុងក្រោយធម្មតា,ការមកឈាមរដូវចុងក្រោយធម្មតា,,,Question,Date,,,,,,
b0ec35f7-da9d-4af9-bcd3-450bf4f39c9f,,,Regular menstrual,Regular menstrual,មករដូវទៀងទាត់,មករដូវទៀងទាត់,,,Misc,N/A,,,,,,
70a4a702-5bf9-443f-93fb-9f5303327047,,,No menstrual bleeding,No menstrual bleeding,មិនមានការមករដូវទេ។,មិនមានការមករដូវទេ។,,,Misc,N/A,,,,,,
ad69975c-b8e0-419c-91f3-e82f6afe5b8b,,,Irregular menstrual,Irregular menstrual,មកឈាមរដូវមិនទៀងទាត់,មកឈាមរដូវមិនទៀងទាត់,,,Misc,N/A,,,,,,
b9894efe-c0f2-4f2e-b86d-4722fad3d174,,,Menopause,Menopause,អស់រដូវ,អស់រដូវ,,,Misc,N/A,,,,,,
600a13b5-5167-4f4c-8f19-88e43cec874a,,,Menstrual history,Menstrual history,ប្រវត្តិនៃការមករដូវ,ប្រវត្តិនៃការមករដូវ,,,Question,Coded,Regular menstrual;No menstrual bleeding;Irregular menstrual;Menopause,,,,,
b26486b8-899b-4928-99dd-5b2e7f1438ad,,,Long term use of corticosteroids,Long term use of corticosteroids,ការប្រើប្រាស់រយៈពេលយូរនៃថ្នាំ corticosteroids,ការប្រើប្រាស់រយៈពេលយូរនៃថ្នាំ corticosteroids,,,Misc,N/A,,,,,,
cb2f4379-6b50-4e3c-b26e-bddba42442ad,,,Combined hormonal use for more than 5 years,Combined hormonal use for more than 5 years,ការប្រើប្រាស់អរម៉ូនរួមបញ្ចូលគ្នាលើសពី 5 ឆ្នាំ។,ការប្រើប្រាស់អរម៉ូនរួមបញ្ចូលគ្នាលើសពី 5 ឆ្នាំ។,,,Misc,N/A,,,,,,
49796c21-8fdb-4722-9241-3d8e8114686f,,,STI,STI,ជំងឺកាមរោគ,ជំងឺកាមរោគ,,,Misc,N/A,,,,,,
c35a8005-2265-491a-847c-e9c862c871a1,,,Has multiple sexual partners,Has multiple sexual partners,មានដៃគូរួមភេទច្រើន។,មានដៃគូរួមភេទច្រើន។,,,Misc,N/A,,,,,,
668f0977-c85e-4cc8-b11c-f6ac888f9f1d,,,Couple with multiple sexual partners,Couple with multiple sexual partners,គូជាមួយដៃគូរួមភេទច្រើន។,គូជាមួយដៃគូរួមភេទច្រើន។,,,Misc,N/A,,,,,,
1cdb4ac0-7258-4bd6-8109-fe1f9f81e5be,,,HIV/AIDS,HIV/AIDS,មេរោគអេដស៍/អេដស៍,មេរោគអេដស៍/អេដស៍,,,Misc,N/A,,,,,,
4b64cdda-d2b6-4742-b4c9-7359822267d5,,,Mother/Sister with cervical cancer,Mother/Sister with cervical cancer,ម្តាយ/បងស្រីដែលមានជំងឺមហារីកមាត់ស្បូន,ម្តាយ/បងស្រីដែលមានជំងឺមហារីកមាត់ស្បូន,,,Misc,N/A,,,,,,
12f4c60e-f432-4423-b64a-c6206626b4fe,,,Previous VIA test with positive results,Previous VIA test with positive results,ការធ្វើតេស្ត VIA ពីមុនជាមួយនឹងលទ្ធផលវិជ្ជមាន,ការធ្វើតេស្ត VIA ពីមុនជាមួយនឹងលទ្ធផលវិជ្ជមាន,,,Misc,N/A,,,,,,
b2977f9a-362a-41b6-acb1-34bf9932a530,,,Abnormal pap smear,Abnormal pap smear,pap smear មិនធម្មតា,pap smear មិនធម្មតា,,,Misc,N/A,,,,,,
f56e0886-27d7-4540-8419-23954f6df39d,,,Reproductive risk factors,Reproductive risk factors,កត្តាហានិភ័យនៃការបន្តពូជ,កត្តាហានិភ័យនៃការបន្តពូជ,,,Misc,Coded,Long term use of corticosteroids;Combined hormonal use for more than 5 years;STI;Has multiple sexual partners;Couple with multiple sexual partners;HIV/AIDS;Mother/Sister with cervical cancer;Previous VIA test with positive results;Abnormal pap smear,,,,,
71526ebd-e9f4-4760-b77c-2be89fbb7713,,,Fully visible,Fully visible,អាចមើលឃើញទាំងស្រុង,អាចមើលឃើញទាំងស្រុង,,,Misc,N/A,,,,,,
a09d0187-68eb-4c58-9ede-de21994de74e,,,Partially visible,Partially visible,មើលឃើញដោយផ្នែក,មើលឃើញដោយផ្នែក,,,Misc,N/A,,,,,,
48ed5d8d-951d-4529-abad-f7ef25937642,,,Not visible,Not visible,មើលមិនឃើញ,មើលមិនឃើញ,,,Misc,N/A,,,,,,
d2ec630a-a223-492a-89f2-597266b36571,,,Visibility of SCJ,Visibility of SCJ,មើលឃើញ SCJ ទាំងស្រុង,មើលឃើញ SCJ ទាំងស្រុង,,,Misc,Coded,Fully visible;Partially visible;Not visible,,,,,
3c2ee376-15ca-4445-b326-dddad91d4ede,TRUE,,Invasive,Invasive,ដែលរីករាលដាល,ដែលរីករាលដាល,,,Misc,N/A,,,,,,
da15c40f-e24b-4771-9986-d3ce5ca56b94,,,Unclear result,Unclear result,លទ្ធផលមិនច្បាស់,លទ្ធផលមិនច្បាស់,,,Misc,N/A,,,,,,
7d469a03-a56b-4c51-a421-0e5787556630,,,Suspected cancer,Suspected cancer,សង្ស័យមានមហារីក,សង្ស័យមានមហារីក,,,Misc,N/A,,,,,,
fc3909e3-9ddb-46e3-b4f7-6905732d977b,,,Test confirmation/treatment,Test confirmation/treatment,ការធ្វើតេស្តបញ្ជាក់/ការព្យាបាល,ការធ្វើតេស្តបញ្ជាក់/ការព្យាបាល,,,Misc,N/A,,,,,,
27912a31-4b1e-40d4-a3a0-947e0eb2e588,,,VIA test results,VIA test results,លទ្ធផលតេស្ត VIA,លទ្ធផលតេស្ត VIA,,,Misc,Coded,Positive;Negative;Unclear result;Suspected cancer,,,,,
a285044f-7897-4640-890a-c729caf2f1dd,,,Quadrant 1,Quadrant 1,កាដ្រង់ទី១,កាដ្រង់ទី១,,,Misc,N/A,,,,,,
4f6a3d40-690f-49d5-a158-d14b98fbf34d,,,Quadrant 2,Quadrant 2,កាដ្រង់ទី២,កាដ្រង់ទី២,,,Misc,N/A,,,,,,
513d8b5a-aac6-4379-b061-e4b002897e7d,,,Quadrant 3,Quadrant 3,កាដ្រង់ទី៣,កាតត្រង់ទី៣,,,Misc,N/A,,,,,,
bcc03428-92e1-4aef-b759-ffc6c816c326,,,Quadrant 4,Quadrant 4,កាដ្រង់ទី៤,កាដ្រង់ទី៤,,,Misc,N/A,,,,,,
0dd61510-1ddd-49e8-838b-b4ec7fdaf95f,,,Number of quadrants involved,Number of quadrants involved,ចំនួនquadrantsដែលពាក់ព័ន្ធ,ចំនួនquadrantsដែលពាក់ព័ន្ធ,,,Misc,Coded,Quadrant 1;Quadrant 2;Quadrant 3;Quadrant 4,,,,,
be60008d-e9eb-48dd-a529-e6d7a5fcb3c7,,,More than 75%,More than 75%,ច្រើនជាង 75%,ច្រើនជាង 75%,,,Misc,N/A,,,,,,
b447d033-4841-4ba4-89ca-714d0b5438fe,,,Less than 75%,Less than 75%,តិចជាង 75%,តិចជាង 75%,,,Misc,N/A,,,,,,
a84a070a-172f-43f7-96f3-67574d42ba1b,,,What area of ectocervix does the acetowhite area occupy?,What area of ectocervix does the acetowhite area occupy?,តើតំបន់ផ្នែកនៃមាត់ស្បូនខាងក្រៅមានកោសិកាចាប់ពណ៌សដែរឬទេ?,តើតំបន់ផ្នែកនៃមាត់ស្បូនខាងក្រៅមានកោសិកាចាប់ពណ៌សដែរឬទេ?,,,Misc,Coded,More than 75%;Less than 75%,,,,,
86a3965b-f9b6-472a-9e9b-15528991308a,,CIEL:5275,Intrauterine device,IUD,កងដាក់ក្នុងស្បូន,កងដាក់ក្នុងស្បូន,,,Misc,N/A,,,,,,
23965e92-7a90-42a1-bff6-66515845017c,,CIEL:5279,Injectable,Injectable,ថ្នាំចាក់ពន្យារកំណើត,ថ្នាំចាក់ពន្យារកំណើត,,,Misc,N/A,,,,,,
61045334-c304-401b-8ec8-2f2223a3326d,,CIEL:1359,Implant,Implant,កងដាក់់ដៃសម្រាប់ពន្យារកំណើត,កងដាក់់ដៃសម្រាប់ពន្យារកំណើត,,,Misc,N/A,,,,,,
46bf7d74-3bde-476c-aea9-0db811b435fa,,CIEL:780,Combined oral contraceptive,COC,ថ្នាំគ្រាប់លេបសម្រាប់ពន្យារកំណើត(រួមបញ្ចូលគ្នា),ថ្នាំគ្រាប់លេបសម្រាប់ពន្យារកំណើត(រួមបញ្ចូលគ្នា),,,Misc,N/A,,,,,,
b6eae24c-af20-4e85-bd1c-1df8e96d74b1,,CIEL:374,Method of family planning,Method of family planning,វិធីសាស្រ្តពន្យារកំណើត,វិធីសាស្រ្តពន្យារកំណើត,,,Misc,Coded,Intrauterine device;Injectable;Implant;Combined oral contraceptive,,,,,
5c0a329a-48f4-4e8d-9b4e-5df7301a8324,,,Is patient currently using family planning,Is patient currently using family planning,តើបច្ចុប្បន្ននេះ អ្នកជំងឺកំពុងប្រើប្រាស់មធ្យោបាយពន្យារកំណើតដែរឬទេ?,តើបច្ចុប្បន្ននេះ អ្នកជំងឺកំពុងប្រើប្រាស់មធ្យោបាយពន្យារកំណើតដែរឬទេ?,,,Misc,Coded,Yes;No,,,,,
abcf6140-5cc9-42a7-86c3-60528cfc9d4e,,,Have you ever had blood during/after sexual intercourse?,Have you ever had blood during/after sexual intercourse?,ការហូរឈាមក្រោយការរួមភេទ,ការហូរឈាមក្រោយការរួមភេទ,,,Misc,Coded,Yes;No,,,,,
76464977-5175-4593-9a59-82cd445c76b0,,,Does patient use corticosteroids?,Does patient use corticosteroids?,តើអ្នកជំងឺប្រើពពួកថ្នាំគ័រទីកូអ៊ីដ (corticosteroids) ដែរឬទេ?,តើអ្នកជំងឺប្រើពពួកថ្នាំគ័រទីកូអ៊ីដ (corticosteroids) ដែរឬទេ?,,,Misc,Coded,Yes;No,,,,,
e5c015db-9c06-45da-aaba-bf3fee26a4c7,,,Corticosteroids use duration (Year(s)),Corticosteroids use duration (Year(s)),រយៈពេលនៃការប្រើថ្នាំពពួកគ័រទីកូអ៊ីដ (គិតជាឆ្នាំ),រយៈពេលនៃការប្រើថ្នាំពពួកគ័រទីកូអ៊ីដ (គិតជាឆ្នាំ),,,Misc,Numeric,,Year(s),,Yes,,
9e34db11-fd5c-4ccc-8595-ace8d7d98373,,,Has patient used combined oral contraceptives for more than 5 years?,Has patient used combined oral contraceptives for more than 5 years?,តើអ្នកជំងឺបានប្រើថ្នាំគ្រាប់ពន្យារកំណើត អស់រយៈពេលចាប់ពី៥ឆ្នាំឡើងដែរឬទេ?,តើអ្នកជំងឺបានប្រើថ្នាំគ្រាប់ពន្យារកំណើត អស់រយៈពេលចាប់ពី៥ឆ្នាំឡើងដែរឬទេ?,,,Misc,Coded,Yes;No,,,,,
c2e13ca7-9c7c-49cd-bada-2c8bb34f3e6c,TRUE,,How many sex partners do you have?,How many sex partners do you have?,តើអ្នកមានដៃគូរួមភេទប៉ុន្មាននាក់?,តើអ្នកមានដៃគូរួមភេទប៉ុន្មាននាក់?,,,Misc,Numeric,,,,,,
bd4a43d6-455e-40b8-abbd-fd4311167556,TRUE,,How many sex partners does your partner have?,How many sex partners does your partner have?,តើដៃគូរួមភេទរបស់អ្នក មានដៃគូប៉ុន្មានអ្នកទៀតដែរ?,តើដៃគូរួមភេទរបស់អ្នក មានដៃគូប៉ុន្មានអ្នកទៀតដែរ?,,,Misc,Numeric,,,,,,
a47c165a-2c06-4b6d-b127-d1edba82604a,,,History of STI(s),History of STI(s),ប្រវត្តិទាក់ទងនឹងជំងឺកាមរោគ,ប្រវត្តិទាក់ទងនឹងជំងឺកាមរោគ,,,Misc,Coded,Yes;No,,,,,
aab5fe68-16dc-484f-b3a5-88deba3d2c72,,,Sexually transmitted infection(s),Sexually transmitted infection(s),ជំងឺឆ្លងតាមផ្លូវភេទ,ជំងឺកាមរោគ,,,Misc,Coded,Syphilis (A53.9);Gonorrhea (A54.9);Candidiasis (B37.9);Trichomoniasis (A59.9);Human papillomavirus (B97.7);Other;Unknown,,,,,
529c57b6-a232-46a0-a6eb-2e1aaa9e3758,,,Other sexually transmitted infection(s),Other sexually transmitted infection(s),ជំងឺឆ្លងផ្សេងទៀតដោយការរួមភេទ,ជំងឺឆ្លងផ្សេងទៀតដោយការរួមភេទ,,,Misc,Text,,,,,,
1260b402-07f1-4505-abac-182fbe30d6a8,,,Other cancer types,Other cancer types,ប្រភេទជំងឺមហារីកផ្សេងទៀត,ប្រភេទជំងឺមហារីកផ្សេងទៀត,,,Misc,Text,,,,,,
b34b1def-2222-4877-ba0c-3fd545d0712a,,,History of Sexually Transmitted Infection Set,History of Sexually Transmitted Infection,សំណុំប្រវត្តិទាក់ទងនឹងជំងឺកាមរោគ,សំណុំប្រវត្តិទាក់ទងនឹងជំងឺកាមរោគ,,,ConvSet,N/A,,,History of STI(s);Sexually transmitted infection(s);Other sexually transmitted infection(s),,,
f6da3f1d-2b98-40a3-af57-7e30ce44ed90,,,Currently contracted with STI(s),Currently contracted with STI(s),បានឆ្លងជំងឺកាមរោគក្នុងពេលថ្មីៗនេះ,បានឆ្លងជំងឺកាមរោគក្នុងពេលថ្មីៗនេះ,,,Misc,Coded,Yes;No,,,,,
b45841bf-d344-493b-982c-b695818736ac,,,Currently contracted with Sexually Transmitted Infection Set,History of Sexually Transmitted Infection,សំណុំប្រវត្តិទាក់ទងនឹងការឆ្លងជំងឺកាមរោគក្នុងពេលថ្មីៗនេះ,សំណុំប្រវត្តិទាក់ទងនឹងការឆ្លងជំងឺកាមរោគក្នុងពេលថ្មីៗនេះ,,,ConvSet,N/A,,,Currently contracted with STI(s);Sexually transmitted infection(s);Other sexually transmitted infection(s),,,
b6e093cc-08bd-4e8d-ba8c-630ccd70e5aa,,,Not on ART,Not on ART,មិនទាន់ប្រើថ្នាំប្រឆាំងមេរោគ (ART),មិនទាន់ប្រើថ្នាំប្រឆាំងមេរោគ (ART),,,Misc,N/A,,,,,,
4d94a822-b09b-459f-9f60-57e62ac467d7,,,Stopped using ART,Stopped using ART,បានឈប់ប្រើថ្នាំប្រឆាំងមេរោគហើយ,បានឈប់ប្រើថ្នាំប្រឆាំងមេរោគហើយ,,,Misc,N/A,,,,,,
dec6bdc3-dc24-42f3-bb22-f7b1b8502ad4,,,Irregulary taking ART,Irregulary taking ART,ប្រើថ្នាំប្រឆាំងមេរោគមិនបានទៀងទាត់,ប្រើថ្នាំប្រឆាំងមេរោគមិនបានទៀងទាត់,,,Misc,N/A,,,,,,
b5b5da0e-2958-4333-bbdc-26b47848323a,,,Takes ART regulary,Takes ART regulary,ប្រើថ្នាំប្រឆាំងមេរោគបានទៀងទាត់ល្អ,ប្រើថ្នាំប្រឆាំងមេរោគបានទៀងទាត់ល្អ,,,Misc,N/A,,,,,,
